,mgCST
323884_MG,mgCST 10
323886_MG,mgCST 22
323887_MG,mgCST 5
323888_MG,mgCST 24
323890_MG,mgCST 22
323891_MG,mgCST 10
323892_MG,mgCST 22
323893_MG,mgCST 20
323894_MG,mgCST 20
323896_MG,mgCST 19
323897_MG,mgCST 22
323898_MG,mgCST 20
323900_MG,mgCST 26
342278_MG,mgCST 24
342282_MG,mgCST 3
342290_MG,mgCST 22
342291_MG,mgCST 2
342294_MG,mgCST 1
342295_MG,mgCST 10
342298_MG,mgCST 18
342300_MG,mgCST 22
342302_MG,mgCST 20
342305_MG,mgCST 5
342306_MG,mgCST 23
342310_MG,mgCST 19
342312_MG,mgCST 10
342315_MG,mgCST 17
342317_MG,mgCST 12
342324_MG,mgCST 3
342326_MG,mgCST 23
342328_MG,mgCST 22
342330_MG,mgCST 19
342333_MG,mgCST 24
342334_MG,mgCST 24
342341_MG,mgCST 17
342343_MG,mgCST 22
342345_MG,mgCST 19
342350_MG,mgCST 12
342351_MG,mgCST 20
342355_MG,mgCST 20
342359_MG,mgCST 16
342363_MG,mgCST 10
342367_MG,mgCST 22
342368_MG,mgCST 20
342377_MG,mgCST 23
342381_MG,mgCST 13
342385_MG,mgCST 23
342386_MG,mgCST 20
342387_MG,mgCST 12
342391_MG,mgCST 23
342395_MG,mgCST 17
342396_MG,mgCST 22
342404_MG,mgCST 22
342408_MG,mgCST 8
342414_MG,mgCST 3
342416_MG,mgCST 20
342419_MG,mgCST 23
342420_MG,mgCST 25
342424_MG,mgCST 12
342427_MG,mgCST 12
342429_MG,mgCST 18
342433_MG,mgCST 3
342434_MG,mgCST 23
342438_MG,mgCST 17
342449_MG,mgCST 11
342450_MG,mgCST 22
342461_MG,mgCST 22
342464_MG,mgCST 12
342466_MG,mgCST 24
342469_MG,mgCST 25
342470_MG,mgCST 17
342474_MG,mgCST 11
342476_MG,mgCST 23
342480_MG,mgCST 20
342482_MG,mgCST 11
342484_MG,mgCST 20
342487_MG,mgCST 5
342489_MG,mgCST 20
342491_MG,mgCST 17
342495_MG,mgCST 19
342496_MG,mgCST 22
342498_MG,mgCST 23
342501_MG,mgCST 24
342502_MG,mgCST 17
342504_MG,mgCST 10
342506_MG,mgCST 23
342509_MG,mgCST 17
342511_MG,mgCST 5
342514_MG,mgCST 12
342520_MG,mgCST 5
342521_MG,mgCST 24
