VIRGO_ID	Species
V1000837	not assigned
V1001546	not assigned
V1001635	not assigned
V1265764	not assigned
V1007951	Gardnerella_sp9
V1001755	Gardnerella_sp10
V1001756	Gardnerella_sp10
V1001794	Gardnerella_vaginalis
V1001882	Gardnerella_vaginalis
V1001883	not assigned
V1001941	Gardnerella_vaginalis
V1002065	Gardnerella_vaginalis
V1002079	Gardnerella_vaginalis
V1002118	Gardnerella_vaginalis
V1002193	Gardnerella_vaginalis
V1002446	Gardnerella_vaginalis
V1002463	not assigned
V1002554	Gardnerella_vaginalis
V1002574	Gardnerella_vaginalis
V1002656	Gardnerella_vaginalis
V1002820	not assigned
V1002851	not assigned
V1002993	Gardnerella_vaginalis
V1003020	Gardnerella_vaginalis
V1003134	not assigned
V1003148	Gardnerella_vaginalis
V1003154	Gardnerella_vaginalis
V1003219	Gardnerella_vaginalis
V1003362	Gardnerella_vaginalis
V1003476	not assigned
V1003487	not assigned
V1003543	not assigned
V1021023	not assigned
V1003797	Gardnerella_vaginalis
V1003816	not assigned
V1003852	not assigned
V1003911	Gardnerella_vaginalis
V1003959	Gardnerella_vaginalis
V1004063	Gardnerella_vaginalis
V1004371	Gardnerella_vaginalis
V1004405	not assigned
V1004614	not assigned
V1004896	Gardnerella_vaginalis
V1005116	Gardnerella_vaginalis
V1005247	Gardnerella_vaginalis
V1005508	not assigned
V1005537	Gardnerella_vaginalis
V1005853	Gardnerella_vaginalis
V1005878	not assigned
V1006038	Gardnerella_leopoldii
V1006039	Gardnerella_leopoldii
V1006041	Gardnerella_leopoldii
V1006043	not assigned
V1006046	Gardnerella_leopoldii
V1006049	Gardnerella_vaginalis
V1006050	not assigned
V1006051	Gardnerella_leopoldii
V1574584	Gardnerella_sp7
V1036532	Gardnerella_vaginalis
V1483527	Gardnerella_sp9
V1006057	not assigned
V1006060	Gardnerella_leopoldii
V1006061	not assigned
V1006063	Gardnerella_leopoldii
V1006064	not assigned
V1006065	not assigned
V1585557	Gardnerella_piotii
V1006077	Gardnerella_leopoldii
V1006079	Gardnerella_vaginalis
V1013527	Gardnerella_sp9
V1006086	Gardnerella_leopoldii
V1006091	Gardnerella_leopoldii
V1006092	not assigned
V1006094	Gardnerella_vaginalis
V1006097	Gardnerella_leopoldii
V1006101	Gardnerella_leopoldii
V1006106	not assigned
V1006107	not assigned
V1006109	not assigned
V1006110	not assigned
V1006113	Gardnerella_vaginalis
V1006116	not assigned
V1006119	not assigned
V1006120	not assigned
V1006125	not assigned
V1006127	not assigned
V1404163	not assigned
V1006133	not assigned
V1006140	not assigned
V1006143	not assigned
V1006144	not assigned
V1006149	Gardnerella_vaginalis
V1216138	Gardnerella_sp2
V1006157	not assigned
V1006158	not assigned
V1006163	Gardnerella_leopoldii
V1006185	not assigned
V1006196	not assigned
V1006211	not assigned
V1006222	Gardnerella_leopoldii
V1006223	Gardnerella_leopoldii
V1006235	Gardnerella_vaginalis
V1006240	not assigned
V1036794	Gardnerella_swidsinkii
V1006259	Gardnerella_leopoldii
V1006265	not assigned
V1006271	Gardnerella_vaginalis
V1006272	Gardnerella_leopoldii
V1006279	Gardnerella_leopoldii
V1006283	Gardnerella_leopoldii
V1006288	Gardnerella_vaginalis
V1006292	Gardnerella_vaginalis
V1006294	Gardnerella_vaginalis
V1006308	Gardnerella_vaginalis
V1006309	not assigned
V1334878	not assigned
V1006319	not assigned
V1006334	Gardnerella_leopoldii
V1006338	Gardnerella_vaginalis
V1464697	not assigned
V1006342	not assigned
V1006377	Gardnerella_vaginalis
V1006386	not assigned
V1006413	Gardnerella_vaginalis
V1006425	Gardnerella_vaginalis
V1006439	Gardnerella_vaginalis
V1006456	not assigned
V1006460	Gardnerella_vaginalis
V1006466	Gardnerella_vaginalis
V1006476	Gardnerella_vaginalis
V1006513	not assigned
V1006525	Gardnerella_vaginalis
V1006551	not assigned
V1006602	not assigned
V1158528	Gardnerella_sp14
V1216148	Gardnerella_sp2
V1483174	not assigned
V1084024	Gardnerella_sp14
V1015187	not assigned
V1195101	Gardnerella_sp13
V1084323	not assigned
V1465063	Gardnerella_piotii
V1464877	Gardnerella_sp14
V1137052	Gardnerella_sp8
V1198790	not assigned
V1216109	not assigned
V1311206	not assigned
V1167454	not assigned
V1056430	Gardnerella_sp2
V1242438	not assigned
V1313491	Gardnerella_sp8
V1242437	Gardnerella_swidsinkii
V1532896	not assigned
V1167243	Gardnerella_sp8
V1268383	Gardnerella_sp14
V1292344	not assigned
V1408213	not assigned
V1579051	not assigned
V1198556	Gardnerella_vaginalis
V1011559	Gardnerella_sp9
V1411056	Gardnerella_sp13
V1078917	Gardnerella_sp14
V1094622	not assigned
V1011564	not assigned
V1172049	Gardnerella_swidsinkii
V1006916	not assigned
V1313820	not assigned
V1409787	not assigned
V1292261	not assigned
V1330188	not assigned
V1440593	not assigned
V1054364	not assigned
V1099916	not assigned
V1464778	not assigned
V1549250	not assigned
V1583005	Gardnerella_sp12
V1172499	not assigned
V1006933	Gardnerella_sp9
V1006934	Gardnerella_sp9
V1102771	Gardnerella_sp12
V1009076	Gardnerella_vaginalis
V1137089	Gardnerella_sp8
V1151431	not assigned
V1162281	not assigned
V1203401	Gardnerella_sp10
V1007245	Gardnerella_vaginalis
